code,level,label,parent_code
2104,group,Aboriginal and Torres Strait Islander heritage and culture,21
210401,objective,Aboriginal and Torres Strait Islander artefacts,2104
210402,objective,Aboriginal and Torres Strait Islander connection to land and environment,2104
210403,objective,Aboriginal and Torres Strait Islander customary practices,2104
210404,objective,Aboriginal and Torres Strait Islander knowledge,2104
210405,objective,Aboriginal and Torres Strait Islander places of significance,2104
210406,objective,Aboriginal and Torres Strait Islander tradition,2104
210407,objective,Conserving Aboriginal and Torres Strait Islander heritage and culture,2104
210499,objective,Aboriginal and Torres Strait Islander heritage and culture not elsewhere classified,2104
2105,group,Ngā ratonga hapori Māori (Māori community services),21
210501,objective,Ngā hōtaka ratonga hapori Māori (Māori community service programs),2105
210502,objective,Te whanaketanga me te oranga o te Māori (Māori development and wellbeing),2105
210599,objective,Ngā ratonga hapori o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori community services not elsewhere classified),2105
2106,group,Mātauranga Māori (Māori education),21
210601,objective,Te whai wāhi o te Māori ki te mātauranga me te taetae atu ki te kura (Māori education engagement and attendance outcomes),2106
210602,objective,Te whakatutukitanga o te pūnaha mātauranga Māori (Māori education system performance),2106
210603,objective,Ngā putanga reo matatini me te pāngarau o te Māori (Māori literacy and numeracy outcomes),2106
210699,objective,Te mātauranga Māori kāore kāore anō kia whakarōpūtia i wāhi kē (Māori education not elsewhere classified),2106
2107,group,Te hauora (hauora Māori) (Māori health),21
210701,objective,Ngā tokoingoa hauora (determinants of Māori health),2107
210702,objective,Te tūnga me ngā putanga hauora (Māori health status and outcomes),2107
210703,objective,Te whakatutukinga o te pūnaha hauora (Māori health system performance),2107
210799,objective,Te hauora kāore anō kia whakarōpūtia i wāhi kē (Māori health not elsewhere classified),2107
2108,group,Te tuku ihotanga me te ahurea Māori (Māori heritage and culture),21
210801,objective,Āhuatanga Māori (te tuku ihotanga Māori) (Māori tradition),2108
210802,objective,Te whāomoomo i te tuku ihotanga me te ahurea Māori (conserving Māori heritage and culture),2108
210803,objective,Mōhiotanga Māori (Māori knowledge),2108
210804,objective,Ngā taonga (Māori artefacts),2108
210805,objective,Ngā tikanga Māori (Māori customary practices),2108
210806,objective,Ngā wāhi taonga (Māori places of significance),2108
210899,objective,Te tuku ihotanga me te ahurea Māori kāore anō kia whakarōpūhia i wāhi kē (Māori heritage and culture not elsewhere classified),2108
2109,group,Pacific Peoples community services,21
210901,objective,Pacific Peoples community service programs,2109
210902,objective,Pacific Peoples development and wellbeing,2109
210999,objective,Pacific Peoples community services not elsewhere classified,2109
2110,group,Pacific Peoples education,21
211001,objective,Pacific Peoples education engagement and attendance,2110
211002,objective,Pacific Peoples education system performance,2110
211003,objective,Pacific Peoples literacy and numeracy outcomes,2110
211099,objective,Pacific Peoples education not elsewhere classified,2110
2111,group,Pacific Peoples health,21
211101,objective,Pacific Peoples determinants of health,2111
211102,objective,Pacific Peoples health status and outcomes,2111
211103,objective,Pacific Peoples health system performance,2111
211199,objective,Pacific Peoples health not elsewhere classified,2111
2112,group,Pacific Peoples heritage and culture,21
211201,objective,Conserving Pacific Peoples heritage and culture,2112
